order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date
o0000000000000000000000000019,c0000000000000000000000000019,delivered,2018-07-01 13:55:06,2018-07-01 18:05:43,2018-07-04 02:10:27,2018-07-23 13:12:07,2018-07-29 13:55:06
o0000000000000000000000000020,c0000000000000000000000000020,delivered,2018-07-04 21:12:28,2018-07-05 06:32:52,2018-07-09 04:16:35,2018-07-23 03:52:36,2018-07-16 21:12:28
o0000000000000000000000000021,c0000000000000000000000000021,delivered,2018-06-01 16:54:17,2018-06-02 03:44:08,2018-06-03 02:12:05,2018-06-06 00:36:57,2018-06-24 16:54:17
o0000000000000000000000000022,c0000000000000000000000000022,delivered,2017-10-16 18:27:00,2017-10-17 01:28:49,2017-10-18 05:37:55,2017-10-26 02:50:14,2017-10-29 18:27:00
o0000000000000000000000000023,c0000000000000000000000000023,delivered,2017-03-05 02:27:15,2017-03-05 18:29:43,2017-03-08 00:28:10,2017-03-09 01:58:25,2017-03-24 02:27:15
o0000000000000000000000000024,c0000000000000000000000000024,delivered,2017-06-01 09:04:11,2017-06-02 02:21:00,2017-06-04 06:34:14,2017-07-12 17:28:08,2017-07-03 09:04:11
o0000000000000000000000000025,c0000000000000000000000000025,delivered,2018-05-01 19:48:40,2018-05-02 08:16:32,2018-05-04 22:03:15,2018-05-10 10:50:54,2018-05-17 19:48:40
o0000000000000000000000000026,c0000000000000000000000000026,delivered,2017-11-07 04:48:14,2017-11-07 08:20:04,2017-11-13 23:28:58,2017-12-07 22:43:48,2017-12-16 04:48:14
o0000000000000000000000000027,c0000000000000000000000000027,delivered,2018-05-20 18:22:00,2018-05-20 19:12:17,2018-05-26 09:50:32,2018-06-06 08:27:18,2018-06-25 18:22:00
o0000000000000000000000000028,c0000000000000000000000000028,delivered,2017-07-22 10:05:33,2017-07-22 15:51:29,2017-07-30 01:50:41,2017-08-06 19:17:33,2017-08-17 10:05:33
o0000000000000000000000000029,c0000000000000000000000000029,delivered,2017-07-05 20:23:42,2017-07-06 01:29:48,2017-07-12 01:23:50,2017-07-20 16:38:19,2017-07-30 20:23:42
o0000000000000000000000000030,c0000000000000000000000000030,delivered,2018-05-06 12:16:16,2018-05-07 04:13:32,2018-05-09 10:17:13,2018-05-21 09:44:28,2018-05-27 12:16:16
o0000000000000000000000000031,c0000000000000000000000000031,delivered,2017-09-21 09:51:47,2017-09-22 05:42:05,2017-09-27 01:54:02,2017-10-11 21:59:38,2017-10-07 09:51:47
o0000000000000000000000000032,c0000000000000000000000000032,delivered,2018-01-14 05:09:33,2018-01-14 19:17:33,2018-01-15 16:09:34,2018-02-07 04:57:27,2018-02-05 05:09:33
o0000000000000000000000000033,c0000000000000000000000000033,delivered,2018-07-27 22:14:06,2018-07-28 01:15:49,2018-08-02 12:00:27,2018-08-12 11:11:38,2018-08-14 22:14:06
o0000000000000000000000000034,c0000000000000000000000000034,delivered,2018-04-02 10:49:46,2018-04-02 15:56:08,2018-04-08 04:16:09,2018-04-14 13:52:56,2018-04-28 10:49:46
o0000000000000000000000000035,c0000000000000000000000000035,delivered,2017-11-01 19:42:41,2017-11-02 15:16:11,2017-11-04 07:55:45,2017-11-13 18:42:01,2017-12-05 19:42:41
o0000000000000000000000000036,c0000000000000000000000000036,delivered,2017-10-23 00:32:50,2017-10-23 04:46:14,2017-10-26 06:31:20,2017-11-13 13:06:54,2017-11-04 00:32:50
o0000000000000000000000000037,c0000000000000000000000000037,delivered,2018-07-04 21:22:06,2018-07-05 07:55:25,2018-07-07 02:07:01,2018-08-03 05:19:10,2018-08-04 21:22:06
o0000000000000000000000000038,c0000000000000000000000000038,delivered,2018-03-23 05:03:33,2018-03-23 22:57:57,2018-03-27 07:57:11,2018-04-19 13:06:34,2018-05-02 05:03:33
o0000000000000000000000000039,c0000000000000000000000000039,delivered,2018-01-24 12:12:52,2018-01-24 13:27:26,2018-01-27 07:01:20,2018-03-07 09:39:12,2018-02-26 12:12:52
o0000000000000000000000000040,c0000000000000000000000000040,delivered,2017-03-28 21:02:35,2017-03-29 15:42:16,2017-04-03 20:52:12,2017-04-12 18:06:04,2017-04-05 21:02:35
o0000000000000000000000000041,c0000000000000000000000000041,delivered,2018-02-09 09:19:40,2018-02-09 16:54:12,2018-02-13 20:01:20,2018-03-01 16:52:59,2018-02-25 09:19:40
o0000000000000000000000000042,c0000000000000000000000000042,delivered,2017-06-06 22:02:41,2017-06-06 23:43:25,2017-06-11 08:42:03,2017-06-15 20:43:34,2017-06-20 22:02:41
o0000000000000000000000000043,c0000000000000000000000000043,delivered,2017-02-22 15:06:58,2017-02-22 20:13:51,2017-02-26 02:15:03,2017-03-04 11:23:28,2017-03-21 15:06:58
o0000000000000000000000000044,c0000000000000000000000000044,delivered,2018-01-31 23:40:41,2018-02-01 18:26:32,2018-02-05 16:03:55,2018-02-07 07:42:05,2018-02-12 23:40:41
o0000000000000000000000000045,c0000000000000000000000000045,delivered,2017-04-10 17:02:03,2017-04-10 21:29:08,2017-04-16 17:17:28,2017-04-22 00:38:19,2017-04-27 17:02:03
o0000000000000000000000000046,c0000000000000000000000000046,delivered,2018-07-25 21:15:40,2018-07-26 12:56:35,2018-08-02 02:51:18,2018-08-29 19:39:16,2018-08-24 21:15:40
o0000000000000000000000000047,c0000000000000000000000000047,invoiced,2018-01-15 00:15:30,2018-01-15 05:44:08,2018-01-21 04:31:52,,2018-02-06 00:15:30
o0000000000000000000000000048,c0000000000000000000000000048,delivered,2017-06-28 07:46:00,2017-06-28 17:40:39,2017-07-04 15:03:47,2017-07-20 11:29:16,2017-07-07 07:46:00
o0000000000000000000000000049,c0000000000000000000000000049,delivered,2017-08-04 13:29:06,2017-08-05 08:20:06,2017-08-08 00:10:32,2017-08-16 03:55:26,2017-09-01 13:29:06
o0000000000000000000000000050,c0000000000000000000000000050,delivered,2017-06-27 00:53:17,2017-06-27 14:43:13,2017-06-29 17:45:14,2017-07-27 05:53:26,2017-07-30 00:53:17
o0000000000000000000000000051,c0000000000000000000000000051,delivered,2018-01-22 14:30:00,2018-01-23 05:08:24,2018-01-25 09:01:36,2018-02-25 20:38:55,2018-02-14 14:30:00
o0000000000000000000000000052,c0000000000000000000000000052,delivered,2018-01-11 14:37:35,2018-01-12 04:25:56,2018-01-13 04:39:29,2018-02-04 19:04:58,2018-01-21 14:37:35
o0000000000000000000000000053,c0000000000000000000000000053,delivered,2017-04-06 04:52:52,2017-04-06 22:41:53,2017-04-08 14:34:23,2017-04-13 07:29:21,2017-04-26 04:52:52
o0000000000000000000000000054,c0000000000000000000000000054,delivered,2018-04-21 09:19:47,2018-04-21 21:54:24,2018-04-23 05:23:32,2018-05-03 07:35:12,2018-05-09 09:19:47
o0000000000000000000000000055,c0000000000000000000000000055,delivered,2017-05-11 13:00:11,2017-05-11 18:31:14,2017-05-14 04:12:06,2017-05-15 17:54:39,2017-05-25 13:00:11
o0000000000000000000000000056,c0000000000000000000000000056,delivered,2017-02-15 13:22:10,2017-02-16 07:26:40,2017-02-19 06:40:39,2017-03-19 09:25:53,2017-03-04 13:22:10
o0000000000000000000000000057,c0000000000000000000000000057,delivered,2017-02-20 05:09:21,2017-02-20 16:22:19,2017-02-23 04:03:18,2017-03-09 10:48:11,2017-03-29 05:09:21
o0000000000000000000000000058,c0000000000000000000000000058,delivered,2018-03-30 09:00:19,2018-03-31 02:22:53,2018-04-04 03:59:30,2018-04-06 03:27:20,2018-05-01 09:00:19
o0000000000000000000000000059,c0000000000000000000000000059,delivered,2017-07-14 22:46:10,2017-07-15 14:41:01,2017-07-20 20:41:29,2017-08-02 17:17:40,2017-07-28 22:46:10
o0000000000000000000000000060,c0000000000000000000000000060,delivered,2018-04-19 17:26:55,2018-04-20 03:51:04,2018-04-22 12:54:16,2018-05-06 09:42:44,2018-05-22 17:26:55
o0000000000000000000000000061,c0000000000000000000000000061,shipped,2018-01-29 00:54:09,2018-01-29 05:53:34,2018-02-02 09:58:20,,2018-03-08 00:54:09
o0000000000000000000000000062,c0000000000000000000000000062,delivered,2018-01-27 00:43:25,2018-01-27 06:15:05,2018-01-29 20:42:35,2018-02-02 22:13:01,2018-02-04 00:43:25
o0000000000000000000000000063,c0000000000000000000000000063,delivered,2017-10-28 09:47:37,2017-10-28 22:20:27,2017-10-29 19:05:31,2017-11-27 02:04:49,2017-11-28 09:47:37
o0000000000000000000000000064,c0000000000000000000000000064,delivered,2017-03-28 12:13:15,2017-03-29 03:34:38,2017-04-01 16:06:37,2017-04-03 14:51:35,2017-04-30 12:13:15
o0000000000000000000000000065,c0000000000000000000000000065,delivered,2018-03-29 21:15:15,2018-03-30 15:24:13,2018-04-01 03:03:30,2018-04-29 04:51:28,2018-04-16 21:15:15
o0000000000000000000000000066,c0000000000000000000000000066,delivered,2018-05-18 19:35:36,2018-05-19 04:07:08,2018-05-23 21:00:14,2018-06-03 08:30:56,2018-06-13 19:35:36
o0000000000000000000000000067,c0000000000000000000000000067,delivered,2017-08-25 02:29:19,2017-08-25 13:57:46,2017-08-26 10:38:36,2017-09-06 01:35:33,2017-09-13 02:29:19
o0000000000000000000000000068,c0000000000000000000000000068,delivered,2017-01-11 08:06:09,2017-01-11 08:23:02,2017-01-14 10:05:10,2017-02-02 13:20:29,2017-02-10 08:06:09
o0000000000000000000000000069,c0000000000000000000000000069,delivered,2018-03-09 19:36:02,2018-03-09 23:03:54,2018-03-14 04:39:47,2018-03-24 11:20:51,2018-03-31 19:36:02
o0000000000000000000000000070,c0000000000000000000000000070,delivered,2017-03-30 08:30:14,2017-03-30 22:28:07,2017-04-03 18:24:51,2017-04-06 21:53:32,2017-04-13 08:30:14
o0000000000000000000000000071,c0000000000000000000000000071,delivered,2018-02-10 21:11:31,2018-02-11 03:14:24,2018-02-16 17:47:51,2018-03-04 15:13:47,2018-03-20 21:11:31
o0000000000000000000000000072,c0000000000000000000000000072,delivered,2017-09-21 13:05:27,2017-09-22 08:38:29,2017-09-25 17:59:16,2017-09-26 20:57:29,2017-10-10 13:05:27
o0000000000000000000000000073,c0000000000000000000000000073,delivered,2017-02-23 15:11:23,2017-02-24 07:31:33,2017-03-01 10:03:48,2017-03-07 06:59:46,2017-04-01 15:11:23
o0000000000000000000000000074,c0000000000000000000000000074,delivered,2018-04-08 21:45:45,2018-04-09 11:23:41,2018-04-13 13:55:55,2018-04-16 07:26:56,2018-04-17 21:45:45
o0000000000000000000000000075,c0000000000000000000000000075,delivered,2017-10-06 01:45:43,2017-10-06 15:06:13,2017-10-08 09:39:19,2017-10-14 09:57:52,2017-10-17 01:45:43
o0000000000000000000000000076,c0000000000000000000000000076,delivered,2017-02-15 11:38:45,2017-02-15 20:38:27,2017-02-23 04:59:11,2017-03-17 00:19:55,2017-03-23 11:38:45
o0000000000000000000000000077,c0000000000000000000000000077,delivered,2018-05-03 04:06:28,2018-05-03 10:52:51,2018-05-05 21:01:26,2018-05-20 14:26:25,2018-06-03 04:06:28
o0000000000000000000000000078,c0000000000000000000000000078,delivered,2017-12-19 11:04:30,2017-12-19 14:59:19,2017-12-20 16:04:49,2018-01-06 09:00:17,2018-01-08 11:04:30
o0000000000000000000000000079,c0000000000000000000000000079,delivered,2017-12-16 18:06:51,2017-12-17 00:41:12,2017-12-21 10:02:56,2018-01-19 13:19:09,2018-01-08 18:06:51
o0000000000000000000000000080,c0000000000000000000000000080,delivered,2017-05-06 09:45:35,2017-05-06 14:06:43,2017-05-09 20:13:53,2017-05-31 09:29:38,2017-05-22 09:45:35
o0000000000000000000000000081,c0000000000000000000000000081,delivered,2017-10-29 14:45:53,2017-10-29 15:27:54,2017-10-30 19:44:12,2017-11-17 21:58:39,2017-11-23 14:45:53
o0000000000000000000000000082,c0000000000000000000000000082,delivered,2018-05-15 00:19:29,2018-05-15 15:13:28,2018-05-19 08:41:57,2018-05-20 14:48:50,2018-06-10 00:19:29
o0000000000000000000000000083,c0000000000000000000000000083,delivered,2018-02-14 09:47:07,2018-02-14 17:16:00,2018-02-20 06:34:49,2018-02-22 17:20:13,2018-03-06 09:47:07
o0000000000000000000000000084,c0000000000000000000000000084,delivered,2018-06-25 22:25:23,2018-06-25 23:24:50,2018-06-28 15:43:09,2018-07-17 04:08:04,2018-07-22 22:25:23
o0000000000000000000000000085,c0000000000000000000000000085,delivered,2017-06-19 09:25:03,2017-06-20 04:26:01,2017-06-24 02:51:38,2017-07-11 19:36:25,2017-06-27 09:25:03
o0000000000000000000000000086,c0000000000000000000000000086,delivered,2017-06-13 04:36:57,2017-06-13 22:51:37,2017-06-14 05:41:11,2017-06-17 15:45:19,2017-07-23 04:36:57
o0000000000000000000000000087,c0000000000000000000000000087,delivered,2018-01-09 01:34:44,2018-01-09 20:23:09,2018-01-11 08:19:21,2018-01-23 11:57:21,2018-02-07 01:34:44
o0000000000000000000000000088,c0000000000000000000000000088,delivered,2017-01-27 06:19:02,2017-01-27 23:18:45,2017-01-31 18:07:16,2017-02-04 17:02:04,2017-02-23 06:19:02
o0000000000000000000000000089,c0000000000000000000000000089,delivered,2017-03-13 02:33:37,2017-03-13 02:51:36,2017-03-15 00:02:56,2017-03-17 16:15:12,2017-03-26 02:33:37
o0000000000000000000000000090,c0000000000000000000000000090,delivered,2018-01-07 23:27:09,2018-01-08 01:06:03,2018-01-10 02:49:37,2018-01-26 19:50:56,2018-02-15 23:27:09
o0000000000000000000000000091,c0000000000000000000000000091,delivered,2017-01-03 18:54:42,2017-01-03 23:59:10,2017-01-08 13:32:27,2017-02-01 05:58:14,2017-01-28 18:54:42
o0000000000000000000000000092,c0000000000000000000000000092,delivered,2018-02-24 17:23:11,2018-02-25 11:15:00,2018-02-28 04:40:58,2018-03-11 06:22:49,2018-03-29 17:23:11
o0000000000000000000000000093,c0000000000000000000000000093,delivered,2017-07-29 22:48:36,2017-07-29 23:13:11,2017-08-03 17:46:38,2017-08-08 18:18:18,2017-08-16 22:48:36
o0000000000000000000000000094,c0000000000000000000000000094,delivered,2017-09-29 00:02:55,2017-09-29 09:15:02,2017-10-02 14:20:36,2017-10-06 18:41:33,2017-10-13 00:02:55
o0000000000000000000000000095,c0000000000000000000000000095,delivered,2017-10-08 22:03:32,2017-10-09 07:48:16,2017-10-11 05:22:30,2017-10-31 07:19:19,2017-11-13 22:03:32
o0000000000000000000000000096,c0000000000000000000000000096,delivered,2017-05-02 13:49:41,2017-05-02 17:13:15,2017-05-07 16:36:42,2017-05-13 06:46:05,2017-05-18 13:49:41
o0000000000000000000000000097,c0000000000000000000000000097,invoiced,2017-05-05 23:23:08,2017-05-06 11:35:41,2017-05-08 11:54:22,,2017-06-08 23:23:08
o0000000000000000000000000098,c0000000000000000000000000098,delivered,2018-05-22 11:07:06,2018-05-22 21:50:27,2018-05-25 15:30:20,2018-05-27 02:46:58,2018-06-07 11:07:06
o0000000000000000000000000099,c0000000000000000000000000099,delivered,2018-06-08 20:01:47,2018-06-09 12:48:21,2018-06-10 13:17:00,2018-07-05 20:43:58,2018-07-16 20:01:47
o0000000000000000000000000100,c0000000000000000000000000100,delivered,2017-07-29 00:42:43,2017-07-29 03:58:35,2017-08-01 05:36:13,2017-08-13 06:20:46,2017-09-02 00:42:43
o0000000000000000000000000101,c0000000000000000000000000101,delivered,2018-03-08 11:43:51,2018-03-08 20:46:24,2018-03-11 15:36:58,2018-03-15 17:18:43,2018-04-17 11:43:51
o0000000000000000000000000102,c0000000000000000000000000102,delivered,2018-06-30 16:16:23,2018-07-01 08:42:49,2018-07-03 16:26:41,2018-07-25 04:00:10,2018-07-26 16:16:23
o0000000000000000000000000103,c0000000000000000000000000103,delivered,2018-03-02 04:56:41,2018-03-02 06:30:12,2018-03-06 04:16:08,2018-03-07 06:57:05,2018-04-01 04:56:41
o0000000000000000000000000104,c0000000000000000000000000104,delivered,2018-05-21 12:24:48,2018-05-22 04:42:49,2018-05-22 16:07:35,2018-05-27 00:37:03,2018-06-22 12:24:48
o0000000000000000000000000105,c0000000000000000000000000105,delivered,2017-11-06 01:42:27,2017-11-06 15:47:01,2017-11-08 00:41:05,2017-12-02 17:55:27,2017-12-05 01:42:27
o0000000000000000000000000106,c0000000000000000000000000106,delivered,2017-04-27 23:54:40,2017-04-28 05:03:18,2017-05-03 18:13:04,2017-05-20 21:20:15,2017-05-12 23:54:40
o0000000000000000000000000107,c0000000000000000000000000107,delivered,2017-02-01 05:50:37,2017-02-01 21:52:09,2017-02-03 09:34:29,2017-02-26 16:08:55,2017-03-03 05:50:37
o0000000000000000000000000108,c0000000000000000000000000108,canceled,2017-07-30 15:35:59,2017-07-30 23:43:54,2017-08-03 10:43:17,,2017-08-21 15:35:59
o0000000000000000000000000109,c0000000000000000000000000109,delivered,2018-03-30 03:17:25,2018-03-30 09:25:52,2018-04-01 06:25:58,2018-04-06 07:57:41,2018-04-13 03:17:25
o0000000000000000000000000110,c0000000000000000000000000110,delivered,2017-10-09 06:48:48,2017-10-09 21:35:47,2017-10-12 23:43:32,2017-11-11 09:01:01,2017-11-15 06:48:48
o0000000000000000000000000111,c0000000000000000000000000111,delivered,2018-05-28 04:45:22,2018-05-28 20:25:09,2018-05-29 16:31:36,2018-06-05 02:45:18,2018-07-03 04:45:22
o0000000000000000000000000112,c0000000000000000000000000112,delivered,2017-06-01 10:26:20,2017-06-01 13:42:48,2017-06-03 21:20:44,2017-06-12 16:40:00,2017-06-23 10:26:20
o0000000000000000000000000113,c0000000000000000000000000113,delivered,2017-11-04 23:50:33,2017-11-05 18:02:21,2017-11-12 09:02:04,2017-12-23 20:45:09,2017-12-10 23:50:33
o0000000000000000000000000114,c0000000000000000000000000114,delivered,2017-01-06 06:28:05,2017-01-06 15:11:27,2017-01-08 23:39:37,2017-01-12 01:37:35,2017-02-06 06:28:05
o0000000000000000000000000115,c0000000000000000000000000115,delivered,2018-04-12 16:22:55,2018-04-13 00:45:27,2018-04-14 21:46:36,2018-04-17 13:07:24,2018-04-27 16:22:55
o0000000000000000000000000116,c0000000000000000000000000116,delivered,2017-03-28 22:40:04,2017-03-29 08:38:26,2017-04-01 00:00:34,2017-04-15 07:41:56,2017-05-06 22:40:04
o0000000000000000000000000117,c0000000000000000000000000117,delivered,2017-08-11 00:40:52,2017-08-11 20:11:08,2017-08-12 12:52:00,2017-09-06 22:14:03,2017-09-17 00:40:52
o0000000000000000000000000118,c0000000000000000000000000118,delivered,2018-07-16 13:53:57,2018-07-16 18:46:16,2018-07-19 23:11:42,2018-07-28 06:00:50,2018-08-10 13:53:57
o0000000000000000000000000119,c0000000000000000000000000119,invoiced,2018-02-09 15:59:31,2018-02-10 07:51:47,2018-02-14 05:11:20,,2018-03-11 15:59:31
o0000000000000000000000000120,c0000000000000000000000000120,delivered,2017-07-06 18:19:57,2017-07-07 03:48:25,2017-07-07 22:08:44,2017-07-21 15:20:13,2017-07-24 18:19:57
o0000000000000000000000000121,c0000000000000000000000000121,delivered,2018-03-18 19:53:08,2018-03-18 23:08:15,2018-03-20 01:01:25,2018-04-05 07:51:22,2018-04-02 19:53:08
o0000000000000000000000000122,c0000000000000000000000000122,delivered,2017-05-28 16:14:12,2017-05-28 23:41:26,2017-06-01 05:05:28,2017-06-06 07:44:50,2017-06-18 16:14:12
o0000000000000000000000000123,c0000000000000000000000000123,delivered,2017-11-03 18:26:32,2017-11-03 22:23:36,2017-11-10 10:28:16,2017-11-13 03:50:06,2017-11-22 18:26:32
o0000000000000000000000000124,c0000000000000000000000000124,delivered,2017-11-14 09:31:35,2017-11-15 05:27:50,2017-11-17 07:46:53,2017-12-17 05:50:55,2017-12-19 09:31:35
o0000000000000000000000000125,c0000000000000000000000000125,delivered,2018-07-28 04:46:10,2018-07-28 10:56:45,2018-08-01 16:15:25,2018-08-04 15:43:37,2018-08-25 04:46:10
o0000000000000000000000000126,c0000000000000000000000000126,delivered,2017-12-10 10:45:42,2017-12-10 16:54:34,2017-12-16 08:38:50,2017-12-19 07:37:38,2017-12-21 10:45:42
o0000000000000000000000000127,c0000000000000000000000000127,delivered,2017-01-30 03:35:54,2017-01-30 18:17:01,2017-02-01 03:55:49,2017-02-22 06:58:35,2017-03-11 03:35:54
o0000000000000000000000000128,c0000000000000000000000000128,delivered,2017-03-06 22:18:49,2017-03-07 06:42:09,2017-03-08 03:37:03,2017-03-28 09:13:09,2017-03-15 22:18:49
o0000000000000000000000000129,c0000000000000000000000000129,delivered,2018-07-02 12:56:01,2018-07-03 07:28:58,2018-07-06 00:17:09,2018-07-13 02:20:12,2018-07-31 12:56:01
o0000000000000000000000000130,c0000000000000000000000000130,delivered,2017-05-28 09:33:34,2017-05-28 10:56:58,2017-05-31 22:50:50,2017-06-23 01:42:03,2017-06-08 09:33:34
o0000000000000000000000000131,c0000000000000000000000000131,delivered,2017-01-13 09:34:19,2017-01-13 14:40:13,2017-01-20 05:04:12,2017-01-23 17:54:06,2017-01-31 09:34:19
o0000000000000000000000000132,c0000000000000000000000000132,delivered,2017-05-11 03:52:09,2017-05-11 10:50:11,2017-05-14 01:45:54,2017-05-20 16:10:44,2017-06-12 03:52:09
o0000000000000000000000000133,c0000000000000000000000000133,delivered,2018-06-23 08:35:55,2018-06-24 02:57:27,2018-06-26 22:11:08,2018-07-01 19:17:54,2018-07-08 08:35:55
o0000000000000000000000000134,c0000000000000000000000000134,delivered,2017-03-17 21:38:50,2017-03-17 22:21:57,2017-03-21 11:20:01,2017-04-16 12:51:35,2017-04-08 21:38:50
o0000000000000000000000000135,c0000000000000000000000000135,delivered,2018-01-23 08:42:13,2018-01-23 12:55:11,2018-01-28 00:34:03,2018-02-20 19:07:42,2018-02-28 08:42:13
o0000000000000000000000000136,c0000000000000000000000000136,delivered,2018-05-21 07:50:33,2018-05-21 23:37:24,2018-05-25 22:44:31,2018-06-02 00:24:21,2018-05-31 07:50:33
o0000000000000000000000000137,c0000000000000000000000000137,delivered,2017-12-20 18:41:00,2017-12-20 19:57:48,2017-12-26 22:58:47,2018-01-21 12:15:38,2018-01-25 18:41:00
o0000000000000000000000000138,c0000000000000000000000000138,delivered,2018-01-01 20:38:05,2018-01-01 22:31:26,2018-01-07 23:15:01,2018-01-13 18:07:36,2018-02-10 20:38:05
o0000000000000000000000000139,c0000000000000000000000000139,delivered,2017-12-28 11:07:08,2017-12-28 13:38:47,2018-01-01 03:05:02,2018-01-26 08:33:54,2018-01-21 11:07:08
o0000000000000000000000000140,c0000000000000000000000000140,delivered,2017-07-11 01:13:34,2017-07-11 03:09:46,2017-07-12 04:43:36,2017-07-30 18:15:18,2017-08-06 01:13:34
o0000000000000000000000000141,c0000000000000000000000000141,delivered,2017-09-29 15:52:17,2017-09-29 18:29:15,2017-10-03 22:06:01,2017-10-06 05:06:56,2017-10-20 15:52:17
o0000000000000000000000000142,c0000000000000000000000000142,delivered,2017-10-31 03:37:03,2017-10-31 23:31:09,2017-11-06 11:54:50,2017-12-08 02:52:20,2017-12-09 03:37:03
o0000000000000000000000000143,c0000000000000000000000000143,delivered,2017-06-23 06:19:57,2017-06-23 17:25:21,2017-06-26 14:46:17,2017-07-05 14:34:17,2017-07-22 06:19:57
o0000000000000000000000000144,c0000000000000000000000000144,delivered,2018-06-01 22:49:09,2018-06-02 08:10:34,2018-06-08 21:12:37,2018-06-11 01:55:15,2018-06-28 22:49:09
o0000000000000000000000000145,c0000000000000000000000000145,delivered,2017-08-13 18:42:49,2017-08-14 06:41:54,2017-08-17 07:49:53,2017-08-22 06:08:34,2017-09-10 18:42:49
o0000000000000000000000000146,c0000000000000000000000000146,delivered,2017-07-16 05:55:30,2017-07-16 15:41:52,2017-07-20 18:18:01,2017-07-29 05:52:45,2017-08-02 05:55:30
o0000000000000000000000000147,c0000000000000000000000000147,delivered,2017-10-28 08:57:36,2017-10-28 22:12:28,2017-11-03 10:35:00,2017-11-07 23:12:31,2017-11-18 08:57:36
o0000000000000000000000000148,c0000000000000000000000000148,delivered,2017-06-06 09:31:46,2017-06-07 04:24:23,2017-06-09 02:40:20,2017-06-20 14:27:56,2017-06-18 09:31:46
