order_id,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value
o0000000000000000000000000012,2,p0000000000000000000000000055,s0000000000000000000000000004,2017-11-05 07:48:19,208.22,36.39
o0000000000000000000000000012,3,p0000000000000000000000000158,s0000000000000000000000000004,2017-11-05 07:48:19,259.44,39.75
o0000000000000000000000000013,1,p0000000000000000000000000103,s0000000000000000000000000033,2017-04-01 00:58:18,190.09,31.61
o0000000000000000000000000014,1,p0000000000000000000000000024,s0000000000000000000000000010,2017-02-09 10:48:25,359.18,26.11
o0000000000000000000000000015,1,p0000000000000000000000000144,s0000000000000000000000000048,2018-07-16 16:38:07,105.3,20.2
o0000000000000000000000000015,2,p0000000000000000000000000099,s0000000000000000000000000048,2018-07-16 16:38:07,274.69,18.43
o0000000000000000000000000016,1,p0000000000000000000000000115,s0000000000000000000000000025,2018-03-24 16:11:18,202.35,36.34
o0000000000000000000000000016,2,p0000000000000000000000000096,s0000000000000000000000000025,2018-03-24 16:11:18,179.56,38.28
o0000000000000000000000000016,3,p0000000000000000000000000097,s0000000000000000000000000025,2018-03-24 16:11:18,45.25,37.91
o0000000000000000000000000016,4,p0000000000000000000000000063,s0000000000000000000000000025,2018-03-24 16:11:18,288.69,34.69
o0000000000000000000000000017,1,p0000000000000000000000000003,s0000000000000000000000000035,2017-03-07 04:31:07,125.24,26.49
o0000000000000000000000000018,1,p0000000000000000000000000063,s0000000000000000000000000017,2017-03-31 02:38:04,291.71,21.11
o0000000000000000000000000019,1,p0000000000000000000000000125,s0000000000000000000000000020,2018-07-05 23:15:54,387.49,21.99
o0000000000000000000000000020,1,p0000000000000000000000000104,s0000000000000000000000000045,2018-07-11 16:04:28,273.12,35.46
o0000000000000000000000000021,1,p0000000000000000000000000090,s0000000000000000000000000040,2018-06-04 08:39:15,76.54,23.17
o0000000000000000000000000021,2,p0000000000000000000000000144,s0000000000000000000000000040,2018-06-04 08:39:15,393.64,23.56
o0000000000000000000000000021,3,p0000000000000000000000000102,s0000000000000000000000000040,2018-06-04 08:39:15,387.12,21.48
o0000000000000000000000000022,1,p0000000000000000000000000036,s0000000000000000000000000001,2017-10-20 12:59:32,147.15,8.45
o0000000000000000000000000023,1,p0000000000000000000000000084,s0000000000000000000000000059,2017-03-08 13:34:40,229.22,39.37
o0000000000000000000000000023,2,p0000000000000000000000000059,s0000000000000000000000000059,2017-03-08 13:34:40,321.53,37.4
o0000000000000000000000000023,3,p0000000000000000000000000047,s0000000000000000000000000059,2017-03-08 13:34:40,260.51,36.22
o0000000000000000000000000023,4,p0000000000000000000000000007,s0000000000000000000000000059,2017-03-08 13:34:40,298.11,38.92
o0000000000000000000000000024,1,p0000000000000000000000000150,s0000000000000000000000000033,2017-06-05 06:12:00,56.32,38.65
o0000000000000000000000000024,2,p0000000000000000000000000117,s0000000000000000000000000033,2017-06-05 06:12:00,251.54,41.42
o0000000000000000000000000024,3,p0000000000000000000000000076,s0000000000000000000000000033,2017-06-05 06:12:00,368.45,40.08
o0000000000000000000000000024,4,p0000000000000000000000000034,s0000000000000000000000000033,2017-06-05 06:12:00,133.52,37.97
o0000000000000000000000000025,1,p0000000000000000000000000098,s0000000000000000000000000055,2018-05-03 21:11:28,385.97,21.37
o0000000000000000000000000026,1,p0000000000000000000000000028,s0000000000000000000000000029,2017-11-13 20:03:03,234.21,19.8
o0000000000000000000000000027,1,p0000000000000000000000000030,s0000000000000000000000000016,2018-05-27 15:58:32,312.95,30.01
o0000000000000000000000000028,1,p0000000000000000000000000068,s0000000000000000000000000034,2017-07-30 07:04:07,381.53,11.56
o0000000000000000000000000029,1,p0000000000000000000000000096,s0000000000000000000000000053,2017-07-10 18:52:38,187.37,16.34
o0000000000000000000000000029,2,p0000000000000000000000000023,s0000000000000000000000000053,2017-07-10 18:52:38,168.31,17.03
o0000000000000000000000000030,1,p0000000000000000000000000082,s0000000000000000000000000025,2018-05-11 02:08:23,333.4,32.76
o0000000000000000000000000031,1,p0000000000000000000000000077,s0000000000000000000000000027,2017-09-27 13:01:13,73.68,34.38
o0000000000000000000000000032,1,p0000000000000000000000000113,s0000000000000000000000000000,2018-01-16 16:22:57,15.6,37.41
o0000000000000000000000000033,1,p0000000000000000000000000054,s0000000000000000000000000033,2018-08-02 14:07:16,255.7,35.39
o0000000000000000000000000034,1,p0000000000000000000000000006,s0000000000000000000000000041,2018-04-07 18:31:07,340.98,31.5
o0000000000000000000000000035,1,p0000000000000000000000000044,s0000000000000000000000000023,2017-11-04 14:43:01,307.94,26.11
o0000000000000000000000000035,2,p0000000000000000000000000018,s0000000000000000000000000023,2017-11-04 14:43:01,18.48,20.79
o0000000000000000000000000035,3,p0000000000000000000000000067,s0000000000000000000000000023,2017-11-04 14:43:01,95.71,25.92
o0000000000000000000000000036,1,p0000000000000000000000000111,s0000000000000000000000000051,2017-10-26 23:35:58,295.22,27.0
o0000000000000000000000000037,1,p0000000000000000000000000068,s0000000000000000000000000050,2018-07-08 10:41:59,296.38,29.23
o0000000000000000000000000037,2,p0000000000000000000000000007,s0000000000000000000000000050,2018-07-08 10:41:59,141.98,31.1
o0000000000000000000000000038,1,p0000000000000000000000000003,s0000000000000000000000000043,2018-03-26 13:56:58,106.89,32.06
o0000000000000000000000000038,2,p0000000000000000000000000098,s0000000000000000000000000043,2018-03-26 13:56:58,369.05,30.3
o0000000000000000000000000039,1,p0000000000000000000000000119,s0000000000000000000000000014,2018-02-01 09:32:17,348.02,34.67
o0000000000000000000000000039,2,p0000000000000000000000000079,s0000000000000000000000000014,2018-02-01 09:32:17,138.99,33.35
o0000000000000000000000000040,1,p0000000000000000000000000000,s0000000000000000000000000001,2017-04-01 22:55:41,306.46,18.67
o0000000000000000000000000041,1,p0000000000000000000000000100,s0000000000000000000000000047,2018-02-11 23:05:27,41.03,40.25
o0000000000000000000000000042,1,p0000000000000000000000000042,s0000000000000000000000000012,2017-06-13 12:56:45,186.43,21.95
o0000000000000000000000000043,1,p0000000000000000000000000044,s0000000000000000000000000022,2017-02-24 22:09:54,24.06,17.15
o0000000000000000000000000044,1,p0000000000000000000000000016,s0000000000000000000000000005,2018-02-04 12:56:54,88.73,31.14
o0000000000000000000000000045,1,p0000000000000000000000000158,s0000000000000000000000000011,2017-04-15 09:15:35,251.39,29.1
o0000000000000000000000000046,1,p0000000000000000000000000128,s0000000000000000000000000022,2018-08-01 13:47:16,136.78,24.17
o0000000000000000000000000047,1,p0000000000000000000000000099,s0000000000000000000000000052,2018-01-21 10:23:42,149.66,38.94
o0000000000000000000000000047,2,p0000000000000000000000000044,s0000000000000000000000000052,2018-01-21 10:23:42,80.33,37.46
o0000000000000000000000000048,1,p0000000000000000000000000000,s0000000000000000000000000005,2017-07-03 22:24:22,140.71,37.0
o0000000000000000000000000049,1,p0000000000000000000000000040,s0000000000000000000000000025,2017-08-08 13:56:59,296.15,29.06
o0000000000000000000000000050,1,p0000000000000000000000000145,s0000000000000000000000000008,2017-06-29 01:08:49,24.56,18.82
o0000000000000000000000000051,1,p0000000000000000000000000089,s0000000000000000000000000021,2018-01-26 04:41:27,111.58,22.77
o0000000000000000000000000052,1,p0000000000000000000000000081,s0000000000000000000000000010,2018-01-18 09:42:37,113.32,17.97
o0000000000000000000000000053,1,p0000000000000000000000000141,s0000000000000000000000000010,2017-04-10 04:33:31,292.15,23.09
o0000000000000000000000000054,1,p0000000000000000000000000020,s0000000000000000000000000030,2018-04-23 13:02:09,195.75,22.15
o0000000000000000000000000055,1,p0000000000000000000000000088,s0000000000000000000000000003,2017-05-17 17:17:41,325.57,17.31
o0000000000000000000000000056,1,p0000000000000000000000000114,s0000000000000000000000000045,2017-02-20 23:37:30,79.08,32.15
o0000000000000000000000000057,1,p0000000000000000000000000003,s0000000000000000000000000035,2017-02-23 20:55:44,317.18,28.54
o0000000000000000000000000058,1,p0000000000000000000000000146,s0000000000000000000000000056,2018-04-03 20:10:25,248.28,19.68
o0000000000000000000000000059,1,p0000000000000000000000000058,s0000000000000000000000000019,2017-07-19 21:33:45,64.14,33.52
o0000000000000000000000000060,1,p0000000000000000000000000134,s0000000000000000000000000010,2018-04-25 23:37:36,353.18,15.6
o0000000000000000000000000061,1,p0000000000000000000000000089,s0000000000000000000000000031,2018-02-01 02:28:28,145.57,36.87
o0000000000000000000000000062,1,p0000000000000000000000000033,s0000000000000000000000000026,2018-02-03 05:13:49,263.18,14.3
o0000000000000000000000000063,1,p0000000000000000000000000152,s0000000000000000000000000037,2017-11-02 11:27:05,248.31,20.13
o0000000000000000000000000064,1,p0000000000000000000000000035,s0000000000000000000000000057,2017-04-04 15:40:27,291.86,36.66
o0000000000000000000000000065,1,p0000000000000000000000000142,s0000000000000000000000000042,2018-04-02 16:28:56,82.28,37.67
o0000000000000000000000000066,1,p0000000000000000000000000030,s0000000000000000000000000056,2018-05-22 09:06:50,194.57,22.36
o0000000000000000000000000067,1,p0000000000000000000000000124,s0000000000000000000000000058,2017-08-27 23:06:46,141.06,33.47
o0000000000000000000000000067,2,p0000000000000000000000000080,s0000000000000000000000000058,2017-08-27 23:06:46,258.19,27.58
o0000000000000000000000000067,3,p0000000000000000000000000070,s0000000000000000000000000058,2017-08-27 23:06:46,93.24,32.19
o0000000000000000000000000067,4,p0000000000000000000000000147,s0000000000000000000000000058,2017-08-27 23:06:46,308.62,30.48
o0000000000000000000000000068,1,p0000000000000000000000000026,s0000000000000000000000000046,2017-01-17 11:58:12,160.82,18.88
o0000000000000000000000000069,1,p0000000000000000000000000033,s0000000000000000000000000058,2018-03-14 05:41:20,93.94,21.02
o0000000000000000000000000069,2,p0000000000000000000000000129,s0000000000000000000000000058,2018-03-14 05:41:20,77.57,23.09
o0000000000000000000000000069,3,p0000000000000000000000000009,s0000000000000000000000000058,2018-03-14 05:41:20,157.57,24.73
o0000000000000000000000000070,1,p0000000000000000000000000069,s0000000000000000000000000040,2017-04-03 21:06:34,253.65,23.75
o0000000000000000000000000071,1,p0000000000000000000000000000,s0000000000000000000000000002,2018-02-18 08:17:00,16.95,18.3
o0000000000000000000000000072,1,p0000000000000000000000000074,s0000000000000000000000000016,2017-09-24 03:27:48,151.76,32.75
o0000000000000000000000000073,1,p0000000000000000000000000098,s0000000000000000000000000011,2017-02-28 00:49:33,279.68,30.93
o0000000000000000000000000074,1,p0000000000000000000000000033,s0000000000000000000000000011,2018-04-15 13:57:44,199.43,38.08
o0000000000000000000000000074,2,p0000000000000000000000000105,s0000000000000000000000000011,2018-04-15 13:57:44,182.99,35.53
o0000000000000000000000000075,1,p0000000000000000000000000040,s0000000000000000000000000041,2017-10-13 02:34:58,208.16,21.16
o0000000000000000000000000076,1,p0000000000000000000000000127,s0000000000000000000000000036,2017-02-22 14:59:41,301.15,15.5
o0000000000000000000000000077,1,p0000000000000000000000000029,s0000000000000000000000000049,2018-05-08 00:14:20,49.81,28.54
o0000000000000000000000000077,2,p0000000000000000000000000000,s0000000000000000000000000049,2018-05-08 00:14:20,144.45,29.57
o0000000000000000000000000078,1,p0000000000000000000000000027,s0000000000000000000000000059,2017-12-22 18:07:12,305.77,35.88
o0000000000000000000000000078,2,p0000000000000000000000000150,s0000000000000000000000000059,2017-12-22 18:07:12,59.81,40.95
o0000000000000000000000000078,3,p0000000000000000000000000117,s0000000000000000000000000059,2017-12-22 18:07:12,267.48,41.34
o0000000000000000000000000079,1,p0000000000000000000000000087,s0000000000000000000000000056,2017-12-24 15:09:45,388.55,17.6
o0000000000000000000000000080,1,p0000000000000000000000000045,s0000000000000000000000000045,2017-05-10 11:28:55,207.51,40.74
o0000000000000000000000000081,1,p0000000000000000000000000041,s0000000000000000000000000009,2017-10-31 22:54:57,393.61,24.7
o0000000000000000000000000082,1,p0000000000000000000000000012,s0000000000000000000000000035,2018-05-20 01:53:51,371.48,24.44
o0000000000000000000000000083,1,p0000000000000000000000000045,s0000000000000000000000000037,2018-02-20 00:40:23,393.58,15.58
o0000000000000000000000000084,1,p0000000000000000000000000146,s0000000000000000000000000059,2018-06-28 05:44:46,225.46,33.32
o0000000000000000000000000085,1,p0000000000000000000000000088,s0000000000000000000000000039,2017-06-27 08:55:57,184.92,33.8
o0000000000000000000000000086,1,p0000000000000000000000000011,s0000000000000000000000000052,2017-06-18 06:40:35,127.02,36.26
o0000000000000000000000000086,2,p0000000000000000000000000082,s0000000000000000000000000052,2017-06-18 06:40:35,211.39,38.04
o0000000000000000000000000087,1,p0000000000000000000000000018,s0000000000000000000000000047,2018-01-11 04:59:57,33.06,34.42
o0000000000000000000000000087,2,p0000000000000000000000000142,s0000000000000000000000000047,2018-01-11 04:59:57,39.33,34.58
o0000000000000000000000000088,1,p0000000000000000000000000072,s0000000000000000000000000022,2017-01-29 21:36:03,308.93,21.5
o0000000000000000000000000088,2,p0000000000000000000000000101,s0000000000000000000000000022,2017-01-29 21:36:03,330.98,19.06
o0000000000000000000000000088,3,p0000000000000000000000000040,s0000000000000000000000000022,2017-01-29 21:36:03,218.99,19.7
o0000000000000000000000000089,1,p0000000000000000000000000088,s0000000000000000000000000038,2017-03-18 09:24:14,94.15,22.89
o0000000000000000000000000090,1,p0000000000000000000000000091,s0000000000000000000000000042,2018-01-10 13:35:37,61.75,42.35
o0000000000000000000000000091,1,p0000000000000000000000000034,s0000000000000000000000000014,2017-01-09 15:11:33,275.68,41.27
o0000000000000000000000000091,2,p0000000000000000000000000122,s0000000000000000000000000014,2017-01-09 15:11:33,191.59,41.43
o0000000000000000000000000092,1,p0000000000000000000000000054,s0000000000000000000000000054,2018-02-26 21:52:42,363.65,17.54
o0000000000000000000000000093,1,p0000000000000000000000000035,s0000000000000000000000000015,2017-08-05 18:57:07,185.13,26.16
o0000000000000000000000000093,2,p0000000000000000000000000144,s0000000000000000000000000015,2017-08-05 18:57:07,267.85,30.89
o0000000000000000000000000094,1,p0000000000000000000000000133,s0000000000000000000000000002,2017-10-04 21:26:10,257.82,23.89
o0000000000000000000000000095,1,p0000000000000000000000000019,s0000000000000000000000000038,2017-10-16 05:04:18,211.64,17.47
o0000000000000000000000000096,1,p0000000000000000000000000041,s0000000000000000000000000053,2017-05-06 00:55:00,64.27,14.96
o0000000000000000000000000097,1,p0000000000000000000000000149,s0000000000000000000000000030,2017-05-08 23:56:50,330.34,22.1
o0000000000000000000000000097,2,p0000000000000000000000000130,s0000000000000000000000000030,2017-05-08 23:56:50,114.63,25.36
o0000000000000000000000000097,3,p0000000000000000000000000087,s0000000000000000000000000030,2017-05-08 23:56:50,369.87,24.59
o0000000000000000000000000098,1,p0000000000000000000000000138,s0000000000000000000000000048,2018-05-27 08:33:40,333.08,27.81
o0000000000000000000000000099,1,p0000000000000000000000000021,s0000000000000000000000000036,2018-06-11 15:18:32,121.91,26.05
o0000000000000000000000000100,1,p0000000000000000000000000156,s0000000000000000000000000041,2017-08-01 14:20:22,118.92,29.06
o0000000000000000000000000101,1,p0000000000000000000000000086,s0000000000000000000000000044,2018-03-11 02:10:15,322.73,35.49
o0000000000000000000000000101,2,p0000000000000000000000000013,s0000000000000000000000000044,2018-03-11 02:10:15,74.37,37.59
o0000000000000000000000000101,3,p0000000000000000000000000001,s0000000000000000000000000044,2018-03-11 02:10:15,324.1,36.75
o0000000000000000000000000102,1,p0000000000000000000000000153,s0000000000000000000000000040,2018-07-02 17:48:55,210.09,18.13
o0000000000000000000000000103,1,p0000000000000000000000000070,s0000000000000000000000000005,2018-03-08 13:30:31,99.8,36.95
o0000000000000000000000000104,1,p0000000000000000000000000062,s0000000000000000000000000036,2018-05-26 04:10:19,305.9,24.13
o0000000000000000000000000105,1,p0000000000000000000000000045,s0000000000000000000000000016,2017-11-08 15:06:03,196.9,21.23
o0000000000000000000000000106,1,p0000000000000000000000000126,s0000000000000000000000000039,2017-05-04 16:04:42,250.16,42.63
o0000000000000000000000000107,1,p0000000000000000000000000044,s0000000000000000000000000030,2017-02-03 10:31:58,189.39,19.25
o0000000000000000000000000107,2,p0000000000000000000000000132,s0000000000000000000000000030,2017-02-03 10:31:58,190.51,22.66
o0000000000000000000000000107,3,p0000000000000000000000000003,s0000000000000000000000000030,2017-02-03 10:31:58,273.55,20.8
o0000000000000000000000000108,1,p0000000000000000000000000069,s0000000000000000000000000028,2017-08-02 10:29:02,323.99,24.7
o0000000000000000000000000109,1,p0000000000000000000000000015,s0000000000000000000000000035,2018-04-01 10:09:38,95.6,23.61
o0000000000000000000000000109,2,p0000000000000000000000000024,s0000000000000000000000000035,2018-04-01 10:09:38,186.54,24.09
o0000000000000000000000000109,3,p0000000000000000000000000092,s0000000000000000000000000035,2018-04-01 10:09:38,151.8,25.43
o0000000000000000000000000110,1,p0000000000000000000000000037,s0000000000000000000000000056,2017-10-14 23:10:51,348.88,23.02
o0000000000000000000000000111,1,p0000000000000000000000000047,s0000000000000000000000000023,2018-06-02 07:46:15,343.43,21.72
o0000000000000000000000000111,2,p0000000000000000000000000060,s0000000000000000000000000023,2018-06-02 07:46:15,268.86,26.61
o0000000000000000000000000112,1,p0000000000000000000000000072,s0000000000000000000000000041,2017-06-05 18:34:36,183.95,21.93
o0000000000000000000000000112,2,p0000000000000000000000000134,s0000000000000000000000000041,2017-06-05 18:34:36,337.34,21.34
o0000000000000000000000000112,3,p0000000000000000000000000091,s0000000000000000000000000041,2017-06-05 18:34:36,345.82,23.12
o0000000000000000000000000113,1,p0000000000000000000000000105,s0000000000000000000000000030,2017-11-11 19:43:14,112.81,19.32
o0000000000000000000000000114,1,p0000000000000000000000000143,s0000000000000000000000000018,2017-01-13 01:12:09,181.6,15.36
o0000000000000000000000000115,1,p0000000000000000000000000158,s0000000000000000000000000054,2018-04-15 12:03:21,187.67,16.85
o0000000000000000000000000116,1,p0000000000000000000000000118,s0000000000000000000000000021,2017-04-04 15:48:44,282.41,25.97
o0000000000000000000000000117,1,p0000000000000000000000000024,s0000000000000000000000000015,2017-08-13 05:30:24,214.2,30.72
o0000000000000000000000000117,2,p0000000000000000000000000121,s0000000000000000000000000015,2017-08-13 05:30:24,162.98,30.59
o0000000000000000000000000118,1,p0000000000000000000000000101,s0000000000000000000000000027,2018-07-19 13:59:56,318.19,25.27
o0000000000000000000000000119,1,p0000000000000000000000000112,s0000000000000000000000000008,2018-02-13 13:36:09,296.48,14.79
o0000000000000000000000000120,1,p0000000000000000000000000039,s0000000000000000000000000055,2017-07-14 06:01:01,186.36,21.74
o0000000000000000000000000120,2,p0000000000000000000000000138,s0000000000000000000000000055,2017-07-14 06:01:01,154.44,16.83
o0000000000000000000000000121,1,p0000000000000000000000000017,s0000000000000000000000000018,2018-03-24 16:10:33,28.99,18.38
o0000000000000000000000000122,1,p0000000000000000000000000020,s0000000000000000000000000038,2017-05-30 18:07:16,193.61,25.5
o0000000000000000000000000122,2,p0000000000000000000000000092,s0000000000000000000000000038,2017-05-30 18:07:16,228.51,27.3
o0000000000000000000000000123,1,p0000000000000000000000000142,s0000000000000000000000000033,2017-11-09 04:31:34,173.09,36.53
o0000000000000000000000000123,2,p0000000000000000000000000147,s0000000000000000000000000033,2017-11-09 04:31:34,150.89,38.65
o0000000000000000000000000124,1,p0000000000000000000000000082,s0000000000000000000000000054,2017-11-20 23:34:08,248.06,18.29
o0000000000000000000000000125,1,p0000000000000000000000000070,s0000000000000000000000000019,2018-07-31 11:42:14,368.62,19.33
o0000000000000000000000000125,2,p0000000000000000000000000146,s0000000000000000000000000019,2018-07-31 11:42:14,371.26,17.19
o0000000000000000000000000125,3,p0000000000000000000000000009,s0000000000000000000000000019,2018-07-31 11:42:14,190.62,17.2
o0000000000000000000000000125,4,p0000000000000000000000000067,s0000000000000000000000000019,2018-07-31 11:42:14,154.43,19.75
o0000000000000000000000000126,1,p0000000000000000000000000085,s0000000000000000000000000046,2017-12-14 17:42:15,147.0,27.57
o0000000000000000000000000126,2,p0000000000000000000000000106,s0000000000000000000000000046,2017-12-14 17:42:15,372.94,23.39
o0000000000000000000000000127,1,p0000000000000000000000000110,s0000000000000000000000000025,2017-02-05 16:00:26,124.44,28.25
o0000000000000000000000000127,2,p0000000000000000000000000033,s0000000000000000000000000025,2017-02-05 16:00:26,142.43,28.74
o0000000000000000000000000127,3,p0000000000000000000000000012,s0000000000000000000000000025,2017-02-05 16:00:26,224.68,27.46
o0000000000000000000000000127,4,p0000000000000000000000000102,s0000000000000000000000000025,2017-02-05 16:00:26,206.71,30.52
o0000000000000000000000000128,1,p0000000000000000000000000043,s0000000000000000000000000023,2017-03-10 20:29:59,395.21,28.93
o0000000000000000000000000129,1,p0000000000000000000000000028,s0000000000000000000000000055,2018-07-06 06:21:37,130.39,27.15
o0000000000000000000000000129,2,p0000000000000000000000000084,s0000000000000000000000000055,2018-07-06 06:21:37,93.1,27.55
o0000000000000000000000000130,1,p0000000000000000000000000002,s0000000000000000000000000012,2017-06-03 02:32:46,37.84,27.74
o0000000000000000000000000130,2,p0000000000000000000000000092,s0000000000000000000000000012,2017-06-03 02:32:46,347.34,23.89
o0000000000000000000000000131,1,p0000000000000000000000000090,s0000000000000000000000000033,2017-01-18 08:07:20,149.89,31.23
o0000000000000000000000000132,1,p0000000000000000000000000156,s0000000000000000000000000025,2017-05-13 16:30:42,350.61,35.17
o0000000000000000000000000132,2,p0000000000000000000000000106,s0000000000000000000000000025,2017-05-13 16:30:42,105.26,31.97
o0000000000000000000000000133,1,p0000000000000000000000000037,s0000000000000000000000000020,2018-06-28 13:20:42,294.11,20.6
o0000000000000000000000000134,1,p0000000000000000000000000059,s0000000000000000000000000039,2017-03-23 12:51:15,278.7,36.31
o0000000000000000000000000134,2,p0000000000000000000000000122,s0000000000000000000000000039,2017-03-23 12:51:15,64.03,39.23
o0000000000000000000000000135,1,p0000000000000000000000000125,s0000000000000000000000000013,2018-01-30 22:12:23,278.89,44.81
o0000000000000000000000000136,1,p0000000000000000000000000062,s0000000000000000000000000033,2018-05-26 01:38:10,213.26,42.11
o0000000000000000000000000137,1,p0000000000000000000000000128,s0000000000000000000000000033,2017-12-25 13:26:19,55.91,34.96
o0000000000000000000000000137,2,p0000000000000000000000000139,s0000000000000000000000000033,2017-12-25 13:26:19,64.5,32.77
o0000000000000000000000000137,3,p0000000000000000000000000115,s0000000000000000000000000033,2017-12-25 13:26:19,21.67,33.01
o0000000000000000000000000138,1,p0000000000000000000000000040,s0000000000000000000000000045,2018-01-08 14:32:54,158.93,34.43
o0000000000000000000000000139,1,p0000000000000000000000000127,s0000000000000000000000000008,2017-12-30 11:37:40,343.9,8.41
o0000000000000000000000000139,2,p0000000000000000000000000001,s0000000000000000000000000008,2017-12-30 11:37:40,247.9,8.11
o0000000000000000000000000139,3,p0000000000000000000000000055,s0000000000000000000000000008,2017-12-30 11:37:40,240.48,8.0
o0000000000000000000000000139,4,p0000000000000000000000000104,s0000000000000000000000000008,2017-12-30 11:37:40,183.45,8.75
o0000000000000000000000000140,1,p0000000000000000000000000152,s0000000000000000000000000006,2017-07-14 02:53:38,234.05,28.91
o0000000000000000000000000141,1,p0000000000000000000000000156,s0000000000000000000000000055,2017-10-04 19:46:02,34.58,27.78
o0000000000000000000000000142,1,p0000000000000000000000000127,s0000000000000000000000000022,2017-11-05 20:04:31,203.09,18.92
o0000000000000000000000000142,2,p0000000000000000000000000156,s0000000000000000000000000022,2017-11-05 20:04:31,102.3,19.58
o0000000000000000000000000142,3,p0000000000000000000000000049,s0000000000000000000000000022,2017-11-05 20:04:31,12.61,17.98
o0000000000000000000000000143,1,p0000000000000000000000000145,s0000000000000000000000000049,2017-06-29 09:05:35,251.01,20.93
o0000000000000000000000000144,1,p0000000000000000000000000080,s0000000000000000000000000052,2018-06-08 09:45:05,227.41,33.89
o0000000000000000000000000145,1,p0000000000000000000000000069,s0000000000000000000000000055,2017-08-17 15:06:22,172.58,27.5
o0000000000000000000000000145,2,p0000000000000000000000000060,s0000000000000000000000000055,2017-08-17 15:06:22,156.17,29.49
o0000000000000000000000000146,1,p0000000000000000000000000025,s0000000000000000000000000055,2017-07-22 21:36:06,330.99,30.86
o0000000000000000000000000147,1,p0000000000000000000000000049,s0000000000000000000000000019,2017-11-03 22:10:59,123.19,23.04
o0000000000000000000000000148,1,p0000000000000000000000000086,s0000000000000000000000000051,2017-06-09 20:47:03,221.74,22.24
o0000000000000000000000000149,1,p0000000000000000000000000023,s0000000000000000000000000034,2018-02-23 21:06:06,327.39,17.33
o0000000000000000000000000150,1,p0000000000000000000000000016,s0000000000000000000000000021,2017-04-24 02:08:22,196.43,21.76
o0000000000000000000000000150,2,p0000000000000000000000000118,s0000000000000000000000000021,2017-04-24 02:08:22,340.16,21.34
o0000000000000000000000000151,1,p0000000000000000000000000111,s0000000000000000000000000024,2017-11-16 09:59:03,232.08,29.66
o0000000000000000000000000152,1,p0000000000000000000000000015,s0000000000000000000000000025,2018-04-22 23:02:04,47.13,33.63
o0000000000000000000000000153,1,p0000000000000000000000000149,s0000000000000000000000000019,2017-12-03 16:04:08,15.15,33.8
o0000000000000000000000000153,2,p0000000000000000000000000103,s0000000000000000000000000019,2017-12-03 16:04:08,340.88,33.0
o0000000000000000000000000153,3,p0000000000000000000000000015,s0000000000000000000000000019,2017-12-03 16:04:08,155.26,31.18
o0000000000000000000000000154,1,p0000000000000000000000000092,s0000000000000000000000000011,2017-09-12 05:36:59,337.91,35.85
